patente,equipo,num_interno
VBDD55,"Camioneta Toyota Hiylux 2,4",900560
VBDD52,"Camioneta Toyota Hiylux 2,4",900562
VBDD53,"Camioneta Toyota Hiylux 2,4",900557
VBDD50,"Camioneta Toyota Hiylux 2,4",900561
VBDD20,"Camioneta Toyota Hiylux 2,4",900558
VBPJ90,Camión 3/4 Mitsubishi Fuso Canter 715 CS,AF0554
VBPF12,Camión 3/4 Mitsubishi Fuso Canter 715 DC,AF0558
TYYX92,Camión Aljibe MB Arocs 4848 30m3,900541
VBZC80,Camión Aljibe MB Arocs 4848K,AF0557
TWJP25,Camión Tolva MB Arocs 4848 8X4 20M2,AF0542
VBPJ74,Tracto Camión MB New Actros 2645,AF0551
VDLF25,Bacheadora Mercedes Benz 1729,AF0573
TWBF98,Barredora Mercedes Benz Atego 1729,AF0574
VCCD33,Camión Petrolero MB Actros 1840 L,AF0560
VBPD82,Camión Pintabandas Fuso Canter 715 DC,AF0559
VCPL53,Camión Salero MB Actros 3242,AF0561
TYHY97,Camión pluma MB Arcos 4148 k,AF0549
VHPR47,Excavadora Komatsu 210,AF0616
VBPX54,Minicargador Caterpillar 236D,AF0553
VBZC64,Motoniveladora Jhon Deere 670G,AF0550
SZPW45,Motoniveladora Jhon Deere 670G,AF0470
TWKY88,Retroexcabadora Caterpillar 416,AF0538
VCLL11,Rodillo Caterpillar CS10GC,AF0556
